projectId,userId,leader,rate
1,162,1,4.900000
1,155,0,1.400000
1,49,0,1.200000
1,191,0,1.000000
1,129,0,1.300000
1,139,0,2.100000
1,76,0,0.000000
1,80,0,5.000000
1,131,0,2.900000
1,74,0,4.600000
2,193,0,3.300000
2,21,1,2.200000
2,190,0,2.600000
2,94,0,0.600000
2,145,0,0.500000
2,125,0,4.000000
2,130,0,1.300000
2,133,0,2.200000
2,145,0,0.100000
2,9,0,4.000000
3,122,0,4.200000
3,93,0,2.200000
3,82,1,1.600000
3,104,0,2.800000
3,10,0,0.300000
3,16,0,0.200000
3,123,0,2.600000
3,85,0,1.600000
3,106,0,3.000000
3,100,0,5.000000
4,83,0,0.700000
4,48,0,3.200000
4,46,0,2.000000
4,62,1,3.800000
4,164,0,4.300000
4,102,0,1.200000
4,187,0,0.000000
4,191,0,3.600000
4,111,0,2.000000
4,126,0,1.800000
5,122,0,1.700000
5,155,0,2.900000
5,185,0,2.600000
5,128,0,1.700000
5,161,1,0.600000
5,160,0,0.600000
5,82,0,3.500000
5,56,0,1.500000
5,50,0,1.200000
5,67,0,4.800000
6,6,0,0.900000
6,199,0,1.900000
6,190,0,4.200000
6,155,0,5.000000
6,32,0,4.000000
6,146,1,1.600000
6,143,0,2.400000
6,2,0,3.400000
6,178,0,4.600000
6,42,0,2.800000
7,40,0,2.500000
7,114,0,0.900000
7,66,0,1.700000
7,40,0,0.700000
7,96,0,0.100000
7,185,0,4.300000
7,87,1,0.300000
7,49,0,1.900000
7,126,0,0.000000
7,158,0,3.200000
8,40,0,0.100000
8,191,0,3.900000
8,169,0,0.200000
8,26,0,0.100000
8,134,0,3.900000
8,171,0,4.500000
8,54,0,0.100000
8,121,1,2.100000
8,177,0,0.400000
8,178,0,3.800000
9,112,0,3.300000
9,52,0,4.000000
9,100,0,2.500000
9,89,0,3.900000
9,172,0,1.500000
9,120,0,0.300000
9,197,0,2.800000
9,2,0,2.100000
9,66,1,0.900000
9,149,0,2.800000
10,66,0,1.100000
10,92,0,0.400000
10,2,0,1.000000
10,69,0,1.200000
10,96,0,3.300000
10,80,0,3.100000
10,6,0,0.400000
10,120,0,4.200000
10,138,0,1.200000
10,189,1,2.600000
11,33,1,1.100000
11,38,0,0.600000
11,178,0,1.800000
11,120,0,5.000000
11,117,0,0.600000
11,105,0,0.400000
11,176,0,4.300000
11,176,0,3.200000
11,112,0,1.900000
11,30,0,4.000000
12,136,0,1.000000
12,40,1,1.800000
12,15,0,0.100000
12,138,0,1.100000
12,140,0,1.900000
12,1,0,0.000000
12,92,0,3.600000
12,107,0,4.300000
12,15,0,0.100000
12,84,0,1.200000
13,162,0,1.100000
13,55,0,0.700000
13,51,1,5.000000
13,185,0,0.300000
13,8,0,1.500000
13,96,0,2.700000
13,158,0,0.200000
13,118,0,2.500000
13,64,0,3.800000
13,144,0,3.000000
14,59,0,3.000000
14,94,0,3.700000
14,173,0,0.800000
14,129,1,0.600000
14,172,0,4.900000
14,141,0,4.900000
14,58,0,2.400000
14,196,0,3.900000
14,48,0,3.700000
14,4,0,4.500000
15,141,0,3.900000
15,155,0,2.100000
15,108,0,2.700000
15,17,0,0.600000
